genome	number of scaffolds	taxonomy	completeness score	contamination score	5S rRNA	16S rRNA	23S rRNA	tRNA count	assembly quality
C04M3_subsampled_40Gb_bin.18	236	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J sp009774535	97.01	2.681				51	med
C04M3_subsampled_40Gb_bin.19	214	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp011959465	99.36	1.265				59	med
C04M3_subsampled_40Gb_bin.2	179	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403845	97.05	2.586				47	med
C04M3_subsampled_40Gb_bin.20	141	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	96.18	0.335	C04M3_subsampled_40Gb_bin.20_NODE_4081_length_22721_cov_15.216205 (150, 256)			33	med
C04M3_subsampled_40Gb_bin.21	141	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315	97.12	3.256		C04M3_subsampled_40Gb_bin.21_NODE_237_length_142030_cov_38.782740 (141614, 142030)		52	med
C04M3_subsampled_40Gb_bin.22	125	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395	94.63	0.671	4 present			39	med
C04M3_subsampled_40Gb_bin.23	142	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	98.21	3.691				39	med
C04M3_subsampled_40Gb_bin.24	45	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.754				47	med
C04M3_subsampled_40Gb_bin.25	116	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__	98.93	0.0				47	med
C04M3_subsampled_40Gb_bin.26	343	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	86.29	4.385				31	med
C04M3_subsampled_40Gb_bin.27	538	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp011958945	89.67	2.207				41	med
C04M3_subsampled_40Gb_bin.28	133	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella arabinosiphila	94.73	1.189				47	med
C04M3_subsampled_40Gb_bin.29	105	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	98.85	3.744				50	med
C04M3_subsampled_40Gb_bin.3	75	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__;s__	100.0	0.0				46	med
C04M3_subsampled_40Gb_bin.30	345	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__	89.79	0.559				39	med
C04M3_subsampled_40Gb_bin.31	161	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	97.12	2.318				45	med
C04M3_subsampled_40Gb_bin.32	540	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp009774455	79.67	2.394				25	med
C04M3_subsampled_40Gb_bin.33	66	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	97.54	0.377				55	med
C04M3_subsampled_40Gb_bin.34	230	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	96.75	1.006	2 present			46	med
C04M3_subsampled_40Gb_bin.35	57	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	96.85	0.377				52	med
C04M3_subsampled_40Gb_bin.36	53	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	100.0	0.0	2 present	C04M3_subsampled_40Gb_bin.36_NODE_45594_length_1663_cov_26.285806 (59, 1595)	C04M3_subsampled_40Gb_bin.36_NODE_22659_length_3306_cov_29.800437 (231, 3112)	59	med
C04M3_subsampled_40Gb_bin.37	44	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	94.85	0.223				44	med
C04M3_subsampled_40Gb_bin.38	221	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	91.61	0.671	2 present			43	med
C04M3_subsampled_40Gb_bin.39	107	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	97.92	0.377	C04M3_subsampled_40Gb_bin.39_NODE_11136_length_7116_cov_53.723529 (80, 175)			43	med
C04M3_subsampled_40Gb_bin.4	166	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	97.01	2.873				51	med
C04M3_subsampled_40Gb_bin.40	224	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__	93.93	2.348	C04M3_subsampled_40Gb_bin.40_NODE_21455_length_3497_cov_2.999411 (4, 92)			35	med
C04M3_subsampled_40Gb_bin.41	151	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp000403435	93.84	3.02				27	med
C04M3_subsampled_40Gb_bin.42	183	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182 sp009774145	97.46	1.265				52	med
C04M3_subsampled_40Gb_bin.43	408	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__	93.34	2.782				25	med
C04M3_subsampled_40Gb_bin.44	870	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp009774655	71.39	4.362				23	med
C04M3_subsampled_40Gb_bin.45	656	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	70.58	1.349				21	med
C04M3_subsampled_40Gb_bin.46	245	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	98.41	0.632				61	med
C04M3_subsampled_40Gb_bin.47	580	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__	79.52	1.067				16	med
C04M3_subsampled_40Gb_bin.48	122	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	95.16	0.974				52	med
C04M3_subsampled_40Gb_bin.49	912	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__QXXE01;s__	71.34	0.02	2 present			22	med
C04M3_subsampled_40Gb_bin.5	455	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia muris	74.51	0.0	C04M3_subsampled_40Gb_bin.5_NODE_8315_length_10068_cov_6.191193 (9948, 10040)	C04M3_subsampled_40Gb_bin.5_NODE_8315_length_10068_cov_6.191193 (5025, 6530)	C04M3_subsampled_40Gb_bin.5_NODE_8315_length_10068_cov_6.191193 (6847, 9799)	40	med
C04M3_subsampled_40Gb_bin.50	108	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1405;s__	96.64	1.565	2 present			49	med
C04M3_subsampled_40Gb_bin.51	223	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	88.7	1.267				43	med
C04M3_subsampled_40Gb_bin.52	206	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	97.58	3.639			C04M3_subsampled_40Gb_bin.52_NODE_27531_length_2721_cov_42.841724 (1583, 2720)	63	med
C04M3_subsampled_40Gb_bin.53	654	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__ASF356;s__	70.47	1.149				31	med
C04M3_subsampled_40Gb_bin.54	56	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	98.67	0.377				40	med
C04M3_subsampled_40Gb_bin.55	60	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485	98.67	0.377	C04M3_subsampled_40Gb_bin.55_NODE_730_length_87433_cov_93.533114 (87011, 87103)			45	med
C04M3_subsampled_40Gb_bin.56	45	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.88				52	med
C04M3_subsampled_40Gb_bin.57	435	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__UMGS1872 sp014237695	87.46	3.914	C04M3_subsampled_40Gb_bin.57_NODE_17704_length_4264_cov_10.326771 (4151, 4258)			26	med
C04M3_subsampled_40Gb_bin.58	716	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	70.08	2.544				33	med
C04M3_subsampled_40Gb_bin.59	120	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335	98.16	2.485				53	med
C04M3_subsampled_40Gb_bin.6	335	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	91.27	1.194				37	med
C04M3_subsampled_40Gb_bin.60	71	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__	98.73	0.0				51	med
C04M3_subsampled_40Gb_bin.61	68	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__	97.03	0.0				48	med
C04M3_subsampled_40Gb_bin.62	44	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	99.43	0.377				47	med
C04M3_subsampled_40Gb_bin.63	52	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	98.41	0.843				55	med
C04M3_subsampled_40Gb_bin.64	850	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	75.23	5.727				37	med
C04M3_subsampled_40Gb_bin.65	105	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__	97.98	1.159				48	med
C04M3_subsampled_40Gb_bin.66	111	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__HGM13634;s__	78.01	2.237		C04M3_subsampled_40Gb_bin.66_NODE_5732_length_15770_cov_3.159530 (2, 925)		29	med
C04M3_subsampled_40Gb_bin.67	7	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	95.16	0.0	2 present	C04M3_subsampled_40Gb_bin.67_NODE_7_length_453853_cov_141.974980 (451688, 453180)		66	med
C04M3_subsampled_40Gb_bin.68	130	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106;s__	97.85	2.013	C04M3_subsampled_40Gb_bin.68_NODE_11500_length_6836_cov_2.777497 (6745, 6833)	C04M3_subsampled_40Gb_bin.68_NODE_7036_length_12386_cov_4.330024 (6, 836)		40	med
C04M3_subsampled_40Gb_bin.69	72	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium cocleatum	100.0	0.0	C04M3_subsampled_40Gb_bin.69_NODE_979_length_73491_cov_16.461930 (2, 71)			52	med
C04M3_subsampled_40Gb_bin.7	216	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	86.61	0.0				35	med
C04M3_subsampled_40Gb_bin.70	425	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp009774395	95.92	2.89				38	med
C04M3_subsampled_40Gb_bin.71	841	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp009917455	74.72	3.016		C04M3_subsampled_40Gb_bin.71_NODE_10048_length_7996_cov_2.595036 (1, 415)		28	med
C04M3_subsampled_40Gb_bin.72	101	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	97.12	1.724				44	med
C04M3_subsampled_40Gb_bin.73	144	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp009911035	97.7	1.724				45	med
C04M3_subsampled_40Gb_bin.74	181	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	98.95	1.424				56	med
C04M3_subsampled_40Gb_bin.75	123	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	97.25	2.969				43	med
C04M3_subsampled_40Gb_bin.76	7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	99.03	0.0				41	med
C04M3_subsampled_40Gb_bin.77	278	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__UMGS1370 sp009774615	95.23	2.848				39	med
C04M3_subsampled_40Gb_bin.78	33	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	94.85	0.223	C04M3_subsampled_40Gb_bin.78_NODE_2134_length_42251_cov_12.734627 (41734, 41844)			45	med
C04M3_subsampled_40Gb_bin.79	553	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	91.8	2.483				32	med
C04M3_subsampled_40Gb_bin.8	93	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	95.86	2.586		C04M3_subsampled_40Gb_bin.8_NODE_1464_length_55925_cov_47.808888 (3, 466)		52	med
C04M3_subsampled_40Gb_bin.80	28	d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068;f__UBA5755;g__;s__	88.43	1.105	2 present			44	med
C04M3_subsampled_40Gb_bin.81	138	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	98.24	1.424				54	med
C04M3_subsampled_40Gb_bin.82	264	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__	89.81	0.019				44	med
C04M3_subsampled_40Gb_bin.83	161	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	97.01	2.274				40	med
C04M3_subsampled_40Gb_bin.84	173	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	97.23	0.754				47	med
C04M3_subsampled_40Gb_bin.85	66	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	98.73	1.424				55	med
C04M3_subsampled_40Gb_bin.86	39	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.754				51	med
C04M3_subsampled_40Gb_bin.87	74	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp011959925	95.41	0.483				37	med
C04M3_subsampled_40Gb_bin.88	205	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp009775355	95.72	0.88			C04M3_subsampled_40Gb_bin.88_NODE_34985_length_2151_cov_392.426413 (1, 1933)	51	med
C04M3_subsampled_40Gb_bin.89	40	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__	94.75	0.0				39	med
C04M3_subsampled_40Gb_bin.9	38	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	96.48	1.048	C04M3_subsampled_40Gb_bin.9_NODE_842_length_80601_cov_3.485007 (80101, 80210)	C04M3_subsampled_40Gb_bin.9_NODE_5780_length_15639_cov_3.284556 (15219, 15638)	C04M3_subsampled_40Gb_bin.9_NODE_842_length_80601_cov_3.485007 (76908, 79838)	45	high
C04M3_subsampled_40Gb_bin.90	99	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775535	97.92	0.0				47	med
C04M3_subsampled_40Gb_bin.91	120	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__HGM13634;s__	73.64	1.342	C04M3_subsampled_40Gb_bin.91_NODE_3636_length_25719_cov_2.673302 (25460, 25568)			30	med
C04M3_subsampled_40Gb_bin.92	11	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__	78.23	2.46				39	med
C04M3_subsampled_40Gb_bin.93	203	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	96.94	4.484		C04M3_subsampled_40Gb_bin.93_NODE_8107_length_10385_cov_7.066790 (3, 466)		45	med
C04M3_subsampled_40Gb_bin.94	304	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	89.61	2.531				37	med
C04M3_subsampled_40Gb_bin.95	44	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	96.37	0.026	2 present	C04M3_subsampled_40Gb_bin.95_NODE_6380_length_13928_cov_5.377106 (3, 806)		55	med
C04M3_subsampled_40Gb_bin.96	89	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	96.59	2.16				45	med
C04M3_subsampled_40Gb_bin.97	41	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002492595	99.43	0.377				48	med
C04M3_subsampled_40Gb_bin.98	54	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__	98.66	0.111	C04M3_subsampled_40Gb_bin.98_NODE_2340_length_38957_cov_54.537933 (38876, 38956)			40	med
C04M3_subsampled_40Gb_bin.99	621	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris	75.05	1.235				29	med
C13F5_Longread_bin.1	7	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	97.31	0.0	2 present	2 present	2 present	50	med
C13F5_Longread_bin.10	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	92.05	3.914	2 present	2 present	2 present	52	med
C13F5_Longread_bin.11	4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	99.43	0.377	4 present	4 present	4 present	51	med
C13F5_Longread_bin.12	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella arabinosiphila	92.09	7.602		4 present	4 present	63	med
C13F5_Longread_bin.13	20	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	91.93	0.0	2 present	C13F5_Longread_bin.13_contig_61 (3989, 5481)	2 present	42	med
C13F5_Longread_bin.14	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__	99.36	0.0		4 present	4 present	59	med
C13F5_Longread_bin.15	11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	98.67	0.377	4 present	4 present	4 present	51	med
C13F5_Longread_bin.16	3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002492595	99.43	0.0	4 present	4 present	4 present	52	med
C13F5_Longread_bin.17	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	99.24	0.377	4 present	4 present	4 present	50	med
C13F5_Longread_bin.18	4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.05	1.509	4 present	4 present	4 present	52	med
C13F5_Longread_bin.19	15	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	93.54	3.763	C13F5_Longread_bin.19_contig_60 (462330, 462439)		C13F5_Longread_bin.19_contig_60 (459214, 462103)	42	med
C13F5_Longread_bin.2	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp009774395	98.16	1.724		5 present	5 present	57	med
C13F5_Longread_bin.20	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp009774455	99.42	0.957		4 present	4 present	55	med
C13F5_Longread_bin.21	4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775265	93.2	0.125	4 present	4 present	4 present	60	med
C13F5_Longread_bin.22	4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	99.43	0.628	4 present	4 present	4 present	57	med
C13F5_Longread_bin.24	25	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__UMGS1872 sp014237695	97.29	3.691	2 present	2 present	2 present	73	med
C13F5_Longread_bin.25	2	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	94.85	0.0	2 present	2 present	2 present	44	med
C13F5_Longread_bin.26	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.754	5 present	5 present	5 present	59	med
C13F5_Longread_bin.27	2	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp013316055	95.29	0.026	2 present	C13F5_Longread_bin.27_contig_19 (1353804, 1355296)	2 present	42	med
C13F5_Longread_bin.28	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	99.03	0.0	2 present	2 present	2 present	43	med
C13F5_Longread_bin.29	7	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	83.54	0.632		C13F5_Longread_bin.29_contig_480 (565908, 567436)	C13F5_Longread_bin.29_contig_480 (562449, 565329)	40	med
C13F5_Longread_bin.3	2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	1.132	4 present	4 present	4 present	50	med
C13F5_Longread_bin.30	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775535	94.52	0.0	4 present	4 present	4 present	52	med
C13F5_Longread_bin.31	13	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335	98.16	2.485		5 present	5 present	62	med
C13F5_Longread_bin.32	1	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.95	0.68	3 present	3 present	3 present	54	med
C13F5_Longread_bin.33	7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485	99.05	0.377	4 present	4 present	4 present	54	med
C13F5_Longread_bin.34	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	97.97	2.215	4 present	4 present	4 present	62	med
C13F5_Longread_bin.35	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	94.21	0.377	4 present	4 present	4 present	50	med
C13F5_Longread_bin.36	36	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	92.89	5.363		3 present	3 present	72	med
C13F5_Longread_bin.37	7	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__	98.66	0.111	3 present	3 present	3 present	47	med
C13F5_Longread_bin.38	5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	99.4	2.49		4 present	4 present	55	med
C13F5_Longread_bin.39	2	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp009911035	97.7	1.724	2 present	4 present	4 present	50	med
C13F5_Longread_bin.4	4	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	98.73	0.632		5 present	5 present	67	med
C13F5_Longread_bin.40	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685	91.63	0.0	4 present	4 present	4 present	54	med
