genome	number of scaffolds	taxonomy	5S rRNA	16S rRNA	23S rRNA	tRNA count
bin_m21.mxb24_sub	436	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__		bin_m21.mxb24_sub_m21_015245 (5942, 6363)		54
bin_m21.mxb44	27	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__	bin_m21.mxb44_m21_117951 (198, 295)		bin_m21.mxb44_m21_010942 (1, 1755)	41
bin_m21.vmb10	82	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	bin_m21.vmb10_m21_024886 (75, 184)			39
bin_m21.vmb130_sub	798	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				31
bin_m21.vmb32_sub	183	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__				22
bin_m21.vmb39	380	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__;s__		bin_m21.vmb39_m21_079287 (1, 517)		37
bin_m22.cct117_sub	892	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__				30
bin_m22.cct149	93	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	5 present	bin_m22.cct149_m22_132827 (20778, 22313)		78
bin_m22.cct87_sub	454	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__				19
bin_m22.mtb115	665	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__	bin_m22.mtb115_m22_052452 (6635, 6742)			24
bin_m22.mtb125	230	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	bin_m22.mtb125_m22_008095 (217, 325)	2 present	bin_m22.mtb125_m22_008095 (418, 3302)	38
bin_m22.mtb136	114	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	2 present			39
bin_m22.mtb157	140	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	3 present			51
bin_m22.mtb184	331	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__	bin_m22.mtb184_m22_118611 (21, 123)			23
bin_m22.mtb2	199	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	bin_m22.mtb2_m22_104057 (19649, 19757)			29
bin_m22.mtb219	193	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__				36
bin_m22.mtb46	155	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	bin_m22.mtb46_m22_094829 (444, 520)			28
bin_m22.mtb86_sub	263	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				46
bin_m22.mtb89_sub	489	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	bin_m22.mtb89_sub_m22_006352 (241, 347)			24
bin_m22.mxb32	48	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	2 present	bin_m22.mxb32_m22_110161 (1, 840)	bin_m22.mxb32_m22_024642 (22232, 24390)	45
bin_m22.mxb98	619	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	5 present			66
bin_m22.vmb0	42	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	2 present	bin_m22.vmb0_m22_040816 (7, 1534)		47
bin_m22.vmb147_sub	754	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__				20
bin_m22.vmb205_sub	277	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				36
bin_m22.vmb20_sub	202	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__HGM11386;s__	bin_m22.vmb20_sub_m22_092159 (6431, 6540)	bin_m22.vmb20_sub_m22_020730 (19669, 21167)	bin_m22.vmb20_sub_m22_022330 (14482, 16336)	37
bin_m22.vmb62_sub	385	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__				8
bin_m22.vmb86	31	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__				39
bin_m24.cct0	106	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__				49
bin_m24.cct106_sub	338	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	2 present			45
bin_m24.cct128	58	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA5578;s__	bin_m24.cct128_m24_059084 (4845, 4920)	bin_m24.cct128_m24_059084 (109, 1666)	bin_m24.cct128_m24_059084 (1855, 4771)	35
bin_m24.cct154	135	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	bin_m24.cct154_m24_130967 (22178, 22287)		bin_m24.cct154_m24_002704 (1, 2479)	37
bin_m24.cct23_sub	432	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__				17
bin_m24.cct24	541	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__	bin_m24.cct24_m24_124509 (3124, 3228)			33
bin_m24.cct4	307	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__;g__;s__				16
bin_m24.cct57_sub	290	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__				43
bin_m24.cct74	571	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	bin_m24.cct74_m24_094869 (20, 129)			29
bin_m24.cct81_sub	429	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				34
bin_m24.mtb10	263	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__		bin_m24.mtb10_m24_036595 (1, 396)		48
bin_m24.mtb106_sub	552	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	bin_m24.mtb106_sub_m24_054544 (375, 481)			21
bin_m24.mtb115	394	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__		bin_m24.mtb115_m24_161946 (5, 968)		19
bin_m24.mtb14	40	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA6345;s__	2 present	bin_m24.mtb14_m24_135401 (34938, 36466)		37
bin_m24.mtb157	116	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella dubosii	4 present			43
bin_m24.mtb173	27	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale	2 present	bin_m24.mtb173_m24_010646 (34997, 35991)		39
bin_m24.mtb176	272	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__		bin_m24.mtb176_m24_125255 (1438, 2942)	bin_m24.mtb176_m24_115574 (3311, 6045)	27
bin_m24.mtb177	988	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__		bin_m24.mtb177_m24_022229 (5183, 5635)		26
bin_m24.mtb184	39	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__		bin_m24.mtb184_m24_005575 (168869, 169282)		31
bin_m24.mtb201	75	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__				54
bin_m24.mtb207	73	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	bin_m24.mtb207_m24_020122 (39, 139)			40
bin_m24.mtb3	183	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__				53
bin_m24.mtb67	402	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	2 present			45
bin_m24.mtb8	261	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__				46
bin_m24.mtb83	117	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__				34
bin_m24.mtb84_sub	166	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				42
bin_m24.mxb17	16	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-314;g__;s__	bin_m24.mxb17_m24_023594 (21699, 21799)		bin_m24.mxb17_m24_023594 (21942, 24843)	49
bin_m24.mxb55	19	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	bin_m24.mxb55_m24_057834 (626063, 626153)	bin_m24.mxb55_m24_107467 (2, 985)		39
bin_m24.vmb102	231	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__WRBF01;g__;s__	bin_m24.vmb102_m24_014200 (3255, 3366)	bin_m24.vmb102_m24_014200 (3435, 4121)		30
bin_m24.vmb132_sub	313	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__				17
bin_m24.vmb153	254	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum;s__				51
bin_m24.vmb166	168	d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068;f__UBA5755;g__;s__				33
bin_m24.vmb170	492	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__				29
bin_m24.vmb171	56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__	2 present			37
bin_m24.vmb21	494	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__				32
bin_m24.vmb61_sub	40	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	bin_m24.vmb61_sub_m24_094043 (33807, 33916)			38
bin_m24.vmb7	67	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__;s__	bin_m24.vmb7_m24_117875 (14637, 14711)	bin_m24.vmb7_m24_018098 (20596, 22104)	bin_m24.vmb7_m24_018098 (22547, 25046)	41
bin_m24.vmb87_sub	837	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__	bin_m24.vmb87_sub_m24_166209 (350, 457)			23
bin_m24.vmb88	357	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__		bin_m24.vmb88_m24_016178 (18790, 20344)		41
bin_m25.cct11	71	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-314;g__CAG-1435;s__	bin_m25.cct11_m25_004798 (896, 990)			37
bin_m25.cct136_sub	532	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus apodemi				21
bin_m25.cct140	27	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	2 present	bin_m25.cct140_m25_008503 (2, 439)		37
bin_m25.cct35_sub	123	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	3 present			34
bin_m25.cct39_sub	305	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A;s__Klebsiella_A michiganensis	3 present	bin_m25.cct39_sub_m25_047990 (2087, 3624)		77
bin_m25.cct74_sub	244	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	bin_m25.cct74_sub_m25_081498 (106977, 107086)			35
bin_m25.cct75_sub	336	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__;s__				1
bin_m25.cct95	459	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__				20
bin_m25.mtb107	130	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__		bin_m25.mtb107_m25_075677 (12565, 13010)		45
bin_m25.mtb124_sub	951	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__			bin_m25.mtb124_sub_m25_039012 (3, 1540)	26
bin_m25.mtb125	26	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			48
bin_m25.mtb130	40	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA3263;s__	2 present			45
bin_m25.mtb132	106	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	bin_m25.mtb132_m25_062633 (2211, 2314)			16
bin_m25.mtb136	284	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__				19
bin_m25.mtb147	301	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__	2 present			33
bin_m25.mtb176	80	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	3 present			47
bin_m25.mtb19	17	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__	bin_m25.mtb19_m25_058435 (85779, 85882)			39
bin_m25.mtb2	68	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7050;s__		bin_m25.mtb2_m25_026274 (1, 770)		41
bin_m25.mtb4	213	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__		bin_m25.mtb4_m25_032110 (18062, 18883)		49
bin_m25.mtb47	291	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	bin_m25.mtb47_m25_065401 (7205, 7315)			17
bin_m25.mtb52	145	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-510;s__		bin_m25.mtb52_m25_004788 (60560, 61534)		51
bin_m25.mtb55_sub	213	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__				63
bin_m25.mtb58_sub	376	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__			bin_m25.mtb58_sub_m25_014507 (432, 2489)	32
bin_m25.mtb74	55	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__		bin_m25.mtb74_m25_007316 (6, 862)		37
bin_m25.mtb91	39	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__	2 present		bin_m25.mtb91_m25_081229 (153, 2113)	47
bin_m25.mtb94	158	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	3 present			51
bin_m25.mtb97_sub	191	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	bin_m25.mtb97_sub_m25_109463 (335, 443)			35
bin_m25.vmb106	254	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__				27
bin_m25.vmb107	606	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	bin_m25.vmb107_m25_114351 (1760, 1869)			25
bin_m25.vmb111	69	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__				52
bin_m25.vmb114	44	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			33
bin_m25.vmb119	576	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp000403435	bin_m25.vmb119_m25_020948 (832, 940)			19
bin_m25.vmb122	67	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685				38
bin_m25.vmb125	102	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__				32
bin_m25.vmb13	13	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-475;s__				36
bin_m25.vmb131	56	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	bin_m25.vmb131_m25_004064 (328, 409)			40
bin_m25.vmb19	51	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp004793545				51
bin_m25.vmb27	184	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__				29
bin_m25.vmb37	42	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	4 present			43
bin_m25.vmb40	33	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__		bin_m25.vmb40_m25_034267 (4678, 5361)		38
bin_m25.vmb42	275	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__				16
bin_m25.vmb48_sub	319	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__	bin_m25.vmb48_sub_m25_034696 (36, 136)			35
bin_m25.vmb76	141	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__				52
bin_m25.vmb77_sub	186	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__				48
bin_m25.vmb85	349	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56;s__				34
bin_m25.vmb86_sub	284	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-314;g__CAG-1435;s__				19
bin_m25.vmb87	64	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	bin_m25.vmb87_m25_034280 (12824, 12924)			40
bin_m3.cct12_sub	198	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				62
bin_m3.cct136_sub	647	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__				24
bin_m3.cct166_sub	400	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__				22
bin_m3.cct28	489	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__				7
bin_m3.cct77	209	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__			bin_m3.cct77_m3_000784 (1944, 4716)	32
bin_m3.cct87	473	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__ZJ304;s__	bin_m3.cct87_m3_105022 (2640, 2731)	bin_m3.cct87_m3_032954 (1694, 2484)		32
bin_m3.mtb134_sub	395	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	bin_m3.mtb134_sub_m3_048782 (367, 474)			35
bin_m3.mtb140	536	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__				37
bin_m3.mtb191_sub	587	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				38
bin_m3.mtb192_sub	837	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__		bin_m3.mtb192_sub_m3_039373 (19, 1557)		32
bin_m3.mxb35_sub	77	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	3 present			40
bin_m3.vmb108	92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	bin_m3.vmb108_m3_178691 (2342, 2449)			38
bin_m3.vmb138	34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	3 present		bin_m3.vmb138_m3_007277 (24, 2908)	72
bin_m3.vmb52	454	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				30
bin_m3.vmb99	228	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	bin_m3.vmb99_m3_088698 (22, 133)			5
bin_m4.cct118	232	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__				8
bin_m4.cct152	131	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	bin_m4.cct152_m4_028239 (1312, 1420)	2 present	bin_m4.cct152_m4_028239 (1514, 2424)	44
bin_m4.cct52	178	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__		bin_m4.cct52_m4_041591 (4062, 5581)	bin_m4.cct52_m4_041591 (738, 3738)	34
bin_m4.cct96	423	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	3 present			82
bin_m4.mtb156_sub	523	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590;s__		bin_m4.mtb156_sub_m4_099515 (1, 487)	bin_m4.mtb156_sub_m4_099515 (709, 3608)	36
bin_m4.mtb157	182	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				42
bin_m4.mtb169	31	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	bin_m4.mtb169_m4_133261 (37525, 37601)		bin_m4.mtb169_m4_133261 (37778, 38799)	44
bin_m4.mtb172	96	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			36
bin_m4.mtb189	14	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	2 present			54
bin_m4.mtb210	167	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	bin_m4.mtb210_m4_025800 (709, 785)		2 present	44
bin_m4.vmb102_sub	512	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__				27
bin_m4.vmb145	32	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	bin_m4.vmb145_m4_094373 (533, 642)	2 present	bin_m4.vmb145_m4_028939 (68063, 68986)	43
bin_m4.vmb154	114	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__				36
bin_m4.vmb26_sub	347	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	3 present		bin_m4.vmb26_sub_m4_050427 (315, 2220)	36
bin_m4.vmb3	159	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA5026;s__				18
bin_m4.vmb39	69	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	bin_m4.vmb39_m4_149346 (8711, 8811)			44
bin_m4.vmb51	128	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__				36
bin_m4.vmb68	54	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;s__	3 present			49
bin_m4.vmb71	628	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__				40
bin_m4.vmb99	48	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__				39
bin_m6.cct108	204	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__				52
bin_m6.cct122	296	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				31
